time,life-time,size,area,mass,radius
1203,46,137,137,819,16.492422502470642
1204,9,19,19,817,5.0990195135927845
1206,4,8,8,815,2.23606797749979
1209,40,112,110,816,12.0
1211,1,1,1,817,0.0
1216,1,1,1,821,0.0
1217,4,5,5,820,2.23606797749979
1222,17,44,42,821,6.708203932499369
1226,1,1,1,825,0.0
1227,1,1,1,826,0.0
1229,2,2,2,828,1.0
1230,55,224,224,824,18.439088914585774
1231,1,1,1,824,0.0
1232,14,37,33,825,6.082762530298219
1233,7,14,12,826,4.242640687119285
1237,28,99,81,826,12.165525060596439
1238,5,10,10,827,3.1622776601683795
1241,2,2,2,830,1.0
1242,11,27,25,825,4.123105625617661
1247,32,178,178,820,14.866068747318506
1248,5,10,8,819,2.0
1250,54,184,182,812,18.867962264113206
1252,4,5,5,812,2.23606797749979
1253,26,59,59,813,8.246211251235321
1254,4,6,6,814,2.23606797749979
1257,4,6,6,815,1.4142135623730951
1258,4,4,4,816,1.4142135623730951
1259,4,4,4,817,2.23606797749979
1262,4,4,4,819,2.23606797749979
1267,1,1,1,824,0.0
1275,3,4,4,832,1.4142135623730951
1278,1,1,1,835,0.0
1281,24,82,58,838,8.06225774829855
1283,2,2,2,840,1.0
1284,5,11,11,839,2.23606797749979
1285,2,2,2,837,1.0
1287,21,67,59,830,8.48528137423857
1291,1,1,1,833,0.0
1293,1,1,1,835,0.0
1295,14,41,29,833,7.0710678118654755
1296,25,99,67,832,11.40175425099138
1297,22,58,58,832,11.704699910719626
1299,1,1,1,834,0.0
1301,1,1,1,835,0.0
1303,24,105,105,837,14.035668847618199
1312,20,41,41,835,10.04987562112089
1314,3,4,4,835,1.4142135623730951
1315,22,57,37,836,4.47213595499958
1321,11,16,16,842,5.656854249492381
1322,43,261,63,836,9.433981132056603
1325,21,80,78,829,8.06225774829855
1328,23,53,53,825,7.0710678118654755
1330,2,2,2,827,1.0
1331,2,3,3,828,1.0
1332,10,12,12,829,3.605551275463989
1333,27,144,76,823,11.180339887498949
1334,35,127,127,824,16.278820596099706
1340,5,5,5,830,2.23606797749979
1343,3,3,3,832,1.4142135623730951
1346,3,3,3,835,2.0
1348,8,17,17,831,5.0
1350,1,1,1,832,0.0
1351,1,1,1,833,0.0
1353,29,139,89,820,15.132745950421556
1354,4,8,8,815,2.23606797749979
1356,13,30,30,817,5.0990195135927845
1366,1,1,1,826,0.0
1368,1,1,1,828,0.0
1370,30,108,108,823,11.661903789690601
1371,42,201,193,814,21.93171219946131
1373,3,4,4,816,2.0
1375,3,4,4,818,1.4142135623730951
1376,2,3,3,819,1.0
1385,11,18,16,823,4.123105625617661
1387,13,39,39,825,6.082762530298219
1391,6,10,10,829,3.1622776601683795
1393,8,22,22,824,5.0
1394,6,18,18,825,4.123105625617661
1397,15,23,23,822,7.0710678118654755
1398,2,2,2,821,1.0
1399,9,18,18,822,4.242640687119285
1403,3,3,3,826,1.4142135623730951
1404,9,13,13,826,5.0
1406,5,9,9,823,3.1622776601683795
1407,1,1,1,824,0.0
1410,15,40,40,827,10.295630140987
1411,13,26,26,828,5.0990195135927845
1413,5,7,7,830,2.8284271247461903
1419,44,257,213,824,13.038404810405298
1420,46,174,174,815,19.849433241279208
1421,1,1,1,816,0.0
1422,1,1,1,817,0.0
1424,1,1,1,819,0.0
1425,2,2,2,820,1.0
1426,3,5,5,819,1.4142135623730951
1429,5,7,7,822,2.23606797749979
1432,3,3,3,825,2.0
1433,2,2,2,824,1.0
1436,22,77,57,822,6.708203932499369
1439,48,265,85,820,9.486832980505138
1445,10,26,26,822,5.385164807134504
1450,1,1,1,827,0.0
1454,21,108,51,830,8.54400374531753
1456,40,158,78,825,12.083045973594572
1457,1,1,1,825,0.0
1459,8,25,21,824,4.47213595499958
1460,1,1,1,823,0.0
1461,8,12,12,824,5.385164807134504
1463,4,6,6,826,2.23606797749979
1464,1,1,1,826,0.0
1467,7,14,14,827,5.0990195135927845
1469,7,12,12,827,4.47213595499958
1471,9,18,18,828,4.123105625617661
1475,22,60,26,828,6.082762530298219
1477,64,494,97,805,11.704699910719626
1478,3,4,4,804,1.4142135623730951
1479,1,1,1,805,0.0
